Timestamp,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Copx1,Copy1,Copxy1,Copx2,Copy2,Copxy2
5.137,-0.959418,3.34435,-2.186627,0.890418,-2.320158,8.024651,2.673042,6.130157,-3.9673,-8.266355,-0.343294,1.685747,0,0,,0,0,
5.138,5.754476,-1.080717,0.254788,6.017391,-0.244954,0.334191,20.678485,7.350865,-3.9673,-9.731204,3.440901,-17.113155,0,0,,0,0,
5.139,8.958835,-3.674721,-0.355566,4.552542,2.074391,-6.501773,30.138972,6.435334,-7.629423,-14.369895,3.807113,-27.611244,0,0,,0,0,
5.14,8.348481,-1.843659,-1.576273,0.157993,2.684745,-8.454906,28.002733,1.399913,-8.85013,-13.881611,1.609839,-25.169828,0,0,,0,0,
5.141,5.907065,2.581407,2.696203,-1.550998,1.341966,-4.792782,17.321538,-5.619158,-2.746592,-4.848372,0.26706,-14.915881,0,0,,0,0,
5.142,1.939764,5.480589,7.579034,0.402135,-1.343591,2.043182,5.114458,-11.112344,4.882831,7.114566,0.511202,-5.394359,0.177277,0.053059,,-0.104694,1.457058,
5.143,-2.943069,4.107292,6.96868,3.820117,-3.418795,7.048085,-4.498618,-13.248583,8.544954,14.927097,0.877414,0.58711,0.490594,0.548184,,-0.102682,1.74689,
5.144,-7.215547,0.597757,0.865142,4.064259,-3.296724,7.048085,-10.602158,-11.722698,7.9346,12.241539,0.14499,4.127163,0,0,,-0.018273,1.542805,
5.145,-8.283666,-1.538482,-5.238396,1.134559,-0.855308,2.409395,-10.907335,-6.687277,2.746592,-1.43039,0.022919,2.906455,0,0,,0,0,
5.146,-4.468954,-1.385894,-8.900519,-3.748272,3.050957,-4.182428,-7.855565,-0.736326,-6.103538,-15.834744,0.022919,-0.023244,0,0,,0,0,
5.147,0.871644,-0.317774,-9.510873,-7.654538,5.614444,-7.356269,-7.245211,2.620621,-10.070838,-20.717576,-0.709506,3.516809,0,0,,0,0,
5.148,3.31306,0.139991,-6.764281,-8.386963,4.759948,-4.182428,-8.923684,2.315444,-4.272477,-13.881611,-1.31986,11.817623,0,0,,0,0,
5.149,2.244941,0.445168,-2.491804,-7.166255,1.830249,2.531465,-7.702976,1.552502,6.408715,2.475875,-0.221223,16.334243,0,0,,0.034519,0.386329,
5.15,-1.112006,1.360699,1.475496,-4.236556,-1.709804,8.512935,-1.752025,1.552502,16.78473,24.69276,2.708476,13.160402,0,0,,-0.161365,1.471144,
5.151,-4.316365,2.123642,2.696203,1.134559,-4.273291,10.466067,7.555874,1.399913,50.354191,77.183203,14.427273,3.272668,0,0,,-0.286516,1.532806,
5.152,-2.180126,2.123642,5.137619,7.238099,-4.273291,6.559802,19.457777,0.789559,119.62935,160.191345,39.451786,-11.864111,0.831765,1.408843,,-0.329784,1.339064,
5.153,4.838945,0.597757,6.663503,9.191232,-0.244954,-1.130658,28.002733,0.636971,186.157917,223.912301,64.110087,-25.658111,0.036761,1.379339,,-0.344385,1.202808,
5.154,9.4166,-1.996248,-1.271096,1.378701,5.614444,-5.647278,24.18802,-2.262211,219.727378,257.847982,76.073025,-26.146394,0,0,,-0.346216,1.17349,
5.155,5.601888,-2.606602,-15.309234,-10.584237,9.154497,-3.205862,6.029989,-15.384822,235.596577,295.689929,78.758583,-6.859208,0,0,,-0.334294,1.255069,
5.156,-4.621542,0.139991,-20.192065,-15.467069,6.224798,3.996315,-19.60488,-37.204978,272.522984,366.979275,86.08283,29.151677,0,0,,-0.315874,1.346599,
5.157,-13.776852,4.717646,-9.81605,-10.340095,-0.977379,10.710209,-42.187978,-59.33031,366.82265,480.505116,112.938406,68.946756,0,0,,-0.307883,1.309911,
5.158,-15.607914,7.311651,3.611734,-3.992414,-5.616069,11.930917,-59.888244,-74.741749,505.678146,622.595523,155.785255,103.859004,0,0,,-0.308072,1.231209,
5.159,-9.504374,4.565058,6.05315,-4.96898,-3.296724,6.803943,-77.283333,-77.640931,634.767981,767.61563,196.434831,128.151093,0.54463,-0.820892,,-0.309459,1.209285,
5.16,-0.654241,-2.148836,-4.017689,-14.002219,3.661311,-1.008588,-94.983599,-63.602789,740.054016,909.950179,228.661521,136.085695,0,0,,-0.30898,1.229573,
5.161,4.533768,-8.099788,-19.581711,-22.547175,9.64278,-6.623844,-110.242449,-33.237677,860.29372,1074.257471,264.062052,131.447004,0,0,,-0.306944,1.24871,
5.162,3.770826,-9.778261,-22.938657,-16.931918,8.788285,-7.356269,-118.634817,7.045688,1033.023853,1283.486817,314.721433,122.169624,0,0,,-0.30466,1.242456,
